ID:0;CPU:463;SZ:3857
ID:88;CPU:130;SZ:5347
ID:89;CPU:176;SZ:11781
ID:90;CPU:103;SZ:6455
ID:91;CPU:151;SZ:8265
ID:92;CPU:170;SZ:4662
ID:93;CPU:454;SZ:9582
ID:94;CPU:175;SZ:14809
ID:95;CPU:255;SZ:14933
ID:96;CPU:455;SZ:6898
ID:97;CPU:414;SZ:16132
ID:98;CPU:104;SZ:4252
ID:99;CPU:134;SZ:15936
ID:100;CPU:295;SZ:2820
ID:101;CPU:395;SZ:4695
ID:102;CPU:112;SZ:13042
ID:103;CPU:382;SZ:12315
ID:104;CPU:158;SZ:284
ID:105;CPU:476;SZ:10128
ID:106;CPU:465;SZ:472
ID:107;CPU:225;SZ:3257
ID:108;CPU:374;SZ:4510
ID:109;CPU:394;SZ:6446
ID:110;CPU:411;SZ:10580
ID:111;CPU:66;SZ:16085
ID:112;CPU:116;SZ:1098
ID:113;CPU:111;SZ:1732
ID:114;CPU:220;SZ:4163
ID:115;CPU:233;SZ:630
ID:116;CPU:37;SZ:14769
ID:117;CPU:59;SZ:11846
ID:118;CPU:134;SZ:5459
ID:119;CPU:221;SZ:4187
ID:120;CPU:168;SZ:14801
ID:121;CPU:224;SZ:263
ID:122;CPU:454;SZ:4958
ID:123;CPU:325;SZ:10689
ID:124;CPU:327;SZ:10519
ID:125;CPU:375;SZ:9651
ID:126;CPU:227;SZ:14169
ID:127;CPU:117;SZ:3294
ID:128;CPU:239;SZ:16377
ID:129;CPU:311;SZ:16202
ID:130;CPU:287;SZ:12377
ID:131;CPU:103;SZ:3480
ID:132;CPU:102;SZ:350
ID:133;CPU:57;SZ:10906
ID:134;CPU:388;SZ:7324
ID:135;CPU:120;SZ:12864
ID:136;CPU:26;SZ:7335
ID:137;CPU:391;SZ:10310
ID:138;CPU:338;SZ:13778
ID:139;CPU:487;SZ:5346
ID:140;CPU:315;SZ:15484
ID:141;CPU:105;SZ:1205
ID:142;CPU:487;SZ:14924
ID:143;CPU:432;SZ:9019
ID:144;CPU:178;SZ:1331
ID:145;CPU:361;SZ:12129
ID:146;CPU:145;SZ:7316
ID:147;CPU:249;SZ:14669
ID:148;CPU:68;SZ:7363
ID:149;CPU:70;SZ:77
ID:150;CPU:128;SZ:3026
ID:151;CPU:460;SZ:3338
ID:152;CPU:35;SZ:12599
ID:153;CPU:465;SZ:6529
ID:154;CPU:431;SZ:2995
ID:155;CPU:263;SZ:12478
ID:156;CPU:469;SZ:9595
ID:157;CPU:58;SZ:10404
ID:158;CPU:369;SZ:15248
ID:159;CPU:147;SZ:863
ID:160;CPU:356;SZ:8734
ID:161;CPU:98;SZ:302
ID:162;CPU:333;SZ:8950
ID:163;CPU:212;SZ:5261
ID:164;CPU:43;SZ:2556
ID:165;CPU:227;SZ:6197
ID:166;CPU:209;SZ:1928
ID:167;CPU:282;SZ:2772
ID:168;CPU:221;SZ:4552
ID:169;CPU:146;SZ:6676
ID:170;CPU:380;SZ:9909
ID:171;CPU:206;SZ:7306
ID:172;CPU:476;SZ:1193
ID:173;CPU:302;SZ:9845
ID:174;CPU:388;SZ:4285
ID:175;CPU:241;SZ:9711
ID:176;CPU:420;SZ:1326
ID:177;CPU:166;SZ:2355
ID:178;CPU:363;SZ:8571
ID:179;CPU:177;SZ:9658
ID:180;CPU:446;SZ:6851
ID:181;CPU:384;SZ:4074
ID:182;CPU:95;SZ:7624
ID:183;CPU:508;SZ:15318
ID:184;CPU:61;SZ:7148
ID:185;CPU:477;SZ:12270
ID:186;CPU:466;SZ:12190
ID:187;CPU:305;SZ:11380
ID:188;CPU:124;SZ:8556
ID:189;CPU:269;SZ:5627
ID:190;CPU:109;SZ:1376
ID:191;CPU:79;SZ:2182
ID:192;CPU:362;SZ:2066
ID:193;CPU:491;SZ:13985
ID:194;CPU:502;SZ:5076
ID:195;CPU:308;SZ:8549
ID:196;CPU:191;SZ:544
ID:197;CPU:117;SZ:2945
ID:198;CPU:166;SZ:10095
ID:199;CPU:329;SZ:3008
ID:200;CPU:388;SZ:4254
ID:201;CPU:472;SZ:1187
ID:202;CPU:357;SZ:6768
ID:203;CPU:301;SZ:15264
ID:204;CPU:26;SZ:4296
ID:205;CPU:500;SZ:14875
ID:206;CPU:397;SZ:4518
ID:207;CPU:232;SZ:10627
ID:208;CPU:509;SZ:11275
ID:209;CPU:445;SZ:12383
ID:210;CPU:140;SZ:15547
ID:211;CPU:23;SZ:11708
ID:212;CPU:21;SZ:10415
ID:213;CPU:107;SZ:15483
ID:214;CPU:241;SZ:5448
ID:215;CPU:162;SZ:15964
ID:216;CPU:465;SZ:7955
ID:217;CPU:435;SZ:8265
ID:218;CPU:216;SZ:7019
ID:219;CPU:246;SZ:3290
ID:220;CPU:431;SZ:12645
ID:221;CPU:368;SZ:11886
ID:222;CPU:322;SZ:10388
ID:223;CPU:227;SZ:16103
ID:224;CPU:427;SZ:11908
ID:225;CPU:324;SZ:5013
ID:226;CPU:173;SZ:13916
ID:227;CPU:152;SZ:3160
ID:228;CPU:119;SZ:10514
ID:229;CPU:420;SZ:6666
ID:230;CPU:405;SZ:5492
ID:231;CPU:121;SZ:8758
ID:232;CPU:499;SZ:4451
ID:233;CPU:452;SZ:6126
ID:234;CPU:186;SZ:10368
ID:235;CPU:373;SZ:12205
ID:236;CPU:197;SZ:15635
ID:237;CPU:161;SZ:16302
ID:238;CPU:390;SZ:6665
ID:239;CPU:177;SZ:9356
ID:240;CPU:418;SZ:14416
ID:241;CPU:440;SZ:6226
ID:242;CPU:142;SZ:9587
ID:243;CPU:407;SZ:13351
ID:244;CPU:357;SZ:13693
ID:245;CPU:191;SZ:10671
ID:246;CPU:75;SZ:7611
ID:247;CPU:83;SZ:2183
ID:248;CPU:50;SZ:233
ID:249;CPU:68;SZ:10545
ID:250;CPU:90;SZ:8101
ID:251;CPU:249;SZ:10961
